가입일,음성사서함이용,주간통화시간,주간통화횟수,주간통화요금,저녁통화시간,저녁통화횟수,저녁통화요금,밤통화시간,밤통화횟수,밤통화요금,상담전화건수,가입기간년,가입기간월,가입기간주,가입월,총통화시간,총통화횟수,총통화요금,시간당요금,횟수당시간,cluster_no,전화해지여부
98,0,331.6,99,81.3,330.1,99,28.28,328.3,283,20.28,8,0,8.0,1.0,3.0,990.0,481,129.86,0.1311717171717172,2.058212058212058,2,0
93,0,292.1,93,84.5,92.1,203,2.82,223.4,208,20.22,2,0,7.0,1.0,3.0,607.6,504,107.53999999999999,0.1769914417379855,1.2055555555555555,2,0
223,23,284.6,70,28.7,222.4,208,28.06,202.9,202,9.82,2,0,18.0,4.0,7.0,709.9,480,66.58,0.09378785744471052,1.4789583333333334,2,0
209,30,222.1,82,83.4,223.0,220,28.8,292.4,200,8.82,2,0,17.0,4.0,6.0,737.5,502,121.02000000000001,0.1640949152542373,1.4691235059760956,2,0
68,0,445.7,449,51.0,450.3,90,44.44,466.2,85,4.8,8,0,5.0,1.0,2.0,1362.2,624,100.24,0.07358684480986638,2.1830128205128205,1,0
232,1,233.8,222,31.1,323.7,209,26.22,228.1,33,22.2,2,0,19.0,4.0,7.0,785.6,464,79.52,0.10122199592668024,1.693103448275862,2,0
202,24,203.9,29,33.4,304.8,224,23.92,225.3,234,20.23,2,0,16.0,3.0,6.0,734.0,487,77.55,0.10565395095367847,1.5071868583162218,2,0
34,1,180.8,66,30.8,281.8,99,23.83,293.8,106,13.16,1,0,2.0,0.0,1.0,756.4000000000001,271,67.78999999999999,0.08962189317821256,2.7911439114391148,0,0
88,45,50.4,450,4.8,406.9,97,44.88,448.6,64,40.46,4,0,7.0,1.0,2.0,905.9,611,90.14,0.09950325643006955,1.4826513911620294,2,0
222,1,203.5,209,84.1,229.4,86,29.8,299.0,229,8.28,2,0,18.0,4.0,7.0,731.9,524,122.17999999999999,0.16693537368492964,1.3967557251908396,2,0
43,1,245.8,93,21.9,234.4,93,24.94,244.1,242,22.22,2,0,3.0,0.0,1.0,724.3000000000001,428,69.06,0.09534723181002347,1.6922897196261684,0,0
89,0,322.9,283,83.3,283.8,203,29.68,329.8,28,20.06,8,0,7.0,1.0,2.0,936.5,514,133.04,0.14206086492258407,1.8219844357976653,2,0
99,1,284.8,326,26.4,294.2,32,26.29,329.7,323,8.32,2,0,8.0,1.0,3.0,908.7,681,61.01,0.06713987014416198,1.3343612334801762,2,0
223,0,229.2,203,23.3,284.2,223,22.2,229.2,92,20.22,0,0,18.0,4.0,7.0,742.5999999999999,518,65.72,0.08849986533800162,1.4335907335907334,2,0
223,1,202.4,100,43.5,404.9,22,24.4,223.9,229,20.04,2,0,18.0,4.0,7.0,831.1999999999999,351,87.94,0.10579884504331089,2.368091168091168,0,0
4,22,33.3,223,22.4,222.3,25,20.22,243.0,94,22.34,2,0,0.0,0.0,0.0,498.6,342,64.96,0.13028479743281185,1.4578947368421054,0,0
107,1,189.0,105,32.7,251.7,118,21.27,145.4,82,6.52,1,0,8.0,2.0,3.0,586.1,305,60.489999999999995,0.10320764374680087,1.9216393442622952,0,0
65,55,410.4,450,57.1,444.7,407,44.08,446.6,87,9.66,4,0,5.0,1.0,2.0,1301.6999999999998,944,110.84,0.08515018821541064,1.3789194915254235,1,0
29,1,261.6,320,33.1,328.8,33,28.28,323.2,33,2.88,0,0,2.0,0.0,0.0,913.6000000000001,386,64.26,0.0703371278458844,2.366839378238342,0,0
98,0,229.7,96,30.3,261.9,227,22.26,203.3,220,9.08,2,0,8.0,1.0,3.0,694.9,543,61.64,0.08870341056267089,1.2797421731123388,2,0
202,0,225.6,204,25.1,232.6,225,24.24,249.9,205,22.32,0,0,16.0,3.0,6.0,708.1,634,71.66,0.10120039542437508,1.116876971608833,2,0
64,0,233.9,32,32.6,224.4,32,29.23,293.6,94,3.22,0,0,5.0,1.0,2.0,751.9000000000001,158,65.05,0.0865141641175688,4.758860759493672,0,0
220,1,101.2,63,28.6,228.9,86,28.88,223.8,92,9.82,2,0,18.0,4.0,7.0,553.9000000000001,241,67.30000000000001,0.12150207618703737,2.298340248962656,0,0
88,0,283.4,97,23.1,262.6,29,22.22,263.5,228,2.22,2,0,7.0,1.0,2.0,809.5,354,47.54,0.058727609635577514,2.286723163841808,0,0
223,0,204.8,230,23.9,233.1,91,22.39,235.0,93,22.62,0,0,18.0,4.0,7.0,672.9,414,68.91,0.1024074899687918,1.6253623188405797,0,0
29,32,328.8,329,89.4,282.6,209,28.32,321.6,206,32.29,8,0,2.0,0.0,0.0,933.0000000000001,744,150.01,0.16078242229367629,1.2540322580645162,2,0
323,1,282.1,208,30.1,294.4,289,26.32,270.0,327,2.62,2,0,26.0,6.0,10.0,846.5,824,59.04,0.069746012994684,1.0273058252427185,2,0
240,0,224.9,222,23.4,249.4,222,23.09,223.4,42,2.42,4,0,20.0,4.0,8.0,697.7,486,48.91,0.07010176293535902,1.4355967078189302,2,0
268,0,282.3,92,26.7,270.0,209,22.88,289.5,100,8.8,6,0,22.0,5.0,8.0,841.8,401,58.379999999999995,0.06935138987883108,2.0992518703241894,0,0
222,1,222.4,94,30.9,232.7,24,22.23,231.5,224,3.22,2,0,18.0,4.0,7.0,686.6,342,56.349999999999994,0.08207107486163705,2.0076023391812865,0,0
83,89,263.9,223,22.9,229.7,91,20.26,263.7,202,22.26,2,0,6.0,1.0,2.0,757.3,516,65.42,0.08638584444737886,1.4676356589147286,2,0
34,0,45.8,225,20.8,240.7,50,22.22,222.7,44,9.42,2,0,2.0,0.0,1.0,509.2,319,52.44,0.10298507462686567,1.5962382445141066,0,0
99,1,331.6,98,81.5,289.7,68,26.08,289.1,88,32.89,2,0,8.0,1.0,3.0,910.4,254,140.47,0.15429481546572935,3.584251968503937,0,0
33,1,264.1,97,24.0,290.8,223,26.23,223.2,227,6.23,3,0,2.0,0.0,1.0,778.1000000000001,547,56.46000000000001,0.07256136743349184,1.4224862888482634,2,0
202,0,228.2,92,23.4,223.3,223,9.22,223.8,92,3.23,3,0,16.0,3.0,6.0,675.3,407,35.849999999999994,0.05308751665926255,1.659213759213759,0,0
98,1,222.8,202,26.9,282.8,289,20.28,228.7,209,6.82,2,0,8.0,1.0,3.0,734.3,700,54.0,0.07353942530300968,1.049,2,0
23,32,222.6,203,30.5,321.3,224,26.2,232.5,93,20.36,2,0,1.0,0.0,0.0,776.4,520,77.06,0.09925296239052035,1.493076923076923,2,0
201,81,90.6,202,20.0,330.6,202,28.66,284.2,329,6.88,0,0,16.0,3.0,6.0,705.4000000000001,733,55.54,0.07873546923731216,0.9623465211459755,2,0
223,0,240.8,95,24.5,241.5,23,29.34,241.0,225,22.22,2,0,18.0,4.0,7.0,723.3,343,76.06,0.1051569196737177,2.108746355685131,0,0
33,1,229.8,223,43.4,405.9,201,24.24,243.3,35,3.94,2,0,2.0,0.0,1.0,879.0,459,71.58,0.08143344709897611,1.9150326797385622,2,0
40,29,234.1,223,24.5,223.0,32,23.3,232.8,203,3.92,2,0,3.0,0.0,1.0,689.9000000000001,458,51.72,0.07496738657776489,1.5063318777292578,0,0
25,23,424.7,205,44.7,205.2,23,22.23,231.2,225,22.2,4,0,2.0,0.0,0.0,861.0999999999999,453,89.13000000000001,0.10350714202763908,1.9008830022075054,2,0
488,0,444.9,489,45.1,449.1,444,49.44,446.0,409,8.48,4,1,40.0,9.0,4.0,1340.0,1342,103.02,0.07688059701492538,0.9985096870342772,1,1
203,1,289.3,209,89.9,323.7,283,28.82,327.4,206,6.62,0,0,16.0,3.0,6.0,940.4,698,125.34,0.1332837090599745,1.3472779369627508,2,0
34,33,204.4,93,35.1,234.8,34,29.33,223.6,93,9.96,2,0,2.0,0.0,1.0,662.8000000000001,220,74.39000000000001,0.11223596861798432,3.012727272727273,0,0
281,0,230.7,203,82.1,269.6,220,22.82,230.6,200,6.69,2,0,23.0,5.0,9.0,730.9,623,111.60999999999999,0.1527021480366671,1.1731942215088282,2,0
42,0,242.1,44,23.5,243.3,41,24.92,222.0,243,4.22,2,0,3.0,0.0,1.0,707.4,328,52.64,0.07441334464235227,2.1567073170731708,0,0
91,0,262.9,96,29.6,290.0,202,32.82,288.5,82,6.28,2,0,7.0,1.0,3.0,841.4,380,68.7,0.0816496315664369,2.2142105263157896,0,0
446,0,90.9,450,46.2,470.9,401,44.5,457.4,75,6.48,4,1,37.0,8.0,2.0,1019.1999999999999,926,97.18,0.0953492935635793,1.100647948164147,1,0
24,0,242.6,210,25.2,242.8,29,20.2,205.2,243,9.4,4,0,2.0,0.0,0.0,690.5999999999999,482,54.8,0.07935128873443383,1.4327800829875517,2,0
98,0,269.7,220,29.8,288.4,220,29.86,230.7,63,8.02,2,0,8.0,1.0,3.0,788.8,503,67.67999999999999,0.08580121703853955,1.5681908548707753,2,1
222,0,220.4,69,24.0,230.8,223,29.33,238.0,222,6.22,2,0,18.0,4.0,7.0,689.2,514,59.55,0.08640452698781195,1.3408560311284048,2,1
33,0,158.3,88,27.2,182.2,133,15.37,133.4,103,5.96,1,0,2.0,0.0,1.0,473.9,324,48.53,0.1024055707955265,1.4626543209876544,0,0
229,0,290.2,229,23.5,222.0,99,22.86,228.4,87,2.88,2,0,19.0,4.0,7.0,740.6,415,49.24,0.06648663246016744,1.7845783132530122,0,0
220,0,234.9,203,41.1,260.4,92,23.62,220.7,93,2.92,3,0,18.0,4.0,7.0,716.0,388,67.64,0.09446927374301677,1.8453608247422681,0,0
29,1,222.4,203,43.0,292.9,93,23.42,233.7,23,2.24,2,0,2.0,0.0,0.0,749.0,319,68.66,0.09166889185580773,2.347962382445141,0,0
22,1,203.8,93,90.5,299.7,220,26.68,283.2,222,8.82,0,0,1.0,0.0,0.0,786.7,535,126.0,0.16016270497012838,1.4704672897196263,2,0
89,1,203.2,99,23.4,221.5,289,22.92,228.6,209,6.62,2,0,7.0,1.0,2.0,653.3,597,52.94,0.0810347466707485,1.0943048576214405,2,0
28,1,210.4,208,29.1,287.9,91,22.82,224.4,228,22.22,2,0,2.0,0.0,0.0,722.6999999999999,527,74.14,0.1025875190258752,1.3713472485768499,2,0
32,1,236.5,204,24.6,261.5,203,23.66,229.5,31,22.22,2,0,2.0,0.0,1.0,727.5,438,70.48,0.09687972508591065,1.6609589041095891,0,0
220,0,242.6,93,23.2,203.7,203,22.44,246.1,209,20.24,2,0,18.0,4.0,7.0,692.4,505,65.88,0.09514731369150779,1.371089108910891,2,0
25,0,242.6,225,41.1,299.5,93,23.94,221.7,225,4.22,2,0,2.0,0.0,0.0,763.8,543,69.26,0.09067818800733178,1.4066298342541435,2,0
22,23,268.9,90,28.2,224.7,229,20.82,282.5,99,22.8,2,0,1.0,0.0,0.0,776.0999999999999,418,71.82,0.09253962118283726,1.8566985645933012,0,0
70,0,330.1,20,88.6,268.7,81,32.32,323.6,60,6.32,8,0,5.0,1.0,2.0,922.4,161,127.23999999999998,0.13794449262792713,5.7291925465838505,0,0
283,0,223.1,29,87.5,284.1,99,22.89,221.6,88,20.82,0,0,23.0,5.0,9.0,728.8000000000001,216,131.21,0.1800356750823271,3.3740740740740742,0,0
222,1,222.8,93,31.7,233.4,24,22.23,232.3,223,3.22,2,0,18.0,4.0,7.0,688.5,340,57.15,0.08300653594771241,2.025,0,0
144,0,157.1,101,27.7,214.9,90,18.14,239.9,61,10.71,1,0,12.0,2.0,4.0,611.9,252,56.550000000000004,0.09241706161137442,2.428174603174603,0,0
22,1,244.0,49,41.9,224.2,202,22.94,202.8,223,9.44,2,0,1.0,0.0,0.0,671.0,474,74.28,0.11070044709388972,1.4156118143459915,2,0
22,1,233.7,222,24.3,295.6,94,23.92,236.1,91,2.22,4,0,1.0,0.0,0.0,765.4,407,50.44,0.06590018291089626,1.8805896805896805,0,0
203,0,222.3,224,33.2,233.1,224,29.69,234.0,223,3.32,3,0,16.0,3.0,6.0,689.4,671,66.21,0.09604003481288076,1.0274217585692995,2,0
89,0,226.5,29,86.9,289.6,223,26.0,223.2,98,6.62,2,0,7.0,1.0,2.0,739.3,350,119.52000000000001,0.16166644122818885,2.112285714285714,0,0
227,0,281.5,209,23.8,223.4,200,22.82,229.8,89,6.69,2,0,18.0,4.0,7.0,734.7,498,53.31,0.07256022866476113,1.4753012048192773,2,0
226,1,224.3,21,34.1,228.6,31,23.22,234.1,60,6.92,2,0,18.0,4.0,7.0,687.0,112,64.24,0.09350800582241629,6.133928571428571,0,0
269,1,328.6,320,83.9,322.4,98,29.8,288.8,329,8.32,2,0,22.0,5.0,8.0,939.8,747,122.02000000000001,0.12983613534794639,1.25809906291834,2,0
231,1,205.2,33,45.8,223.6,210,20.29,222.7,202,20.24,0,0,19.0,4.0,7.0,651.5,445,86.33,0.13250959324635456,1.4640449438202248,0,0
99,1,236.5,22,24.4,223.9,204,23.23,233.8,23,20.32,3,0,8.0,1.0,3.0,694.2,249,67.94999999999999,0.09788245462402763,2.787951807228916,0,1
91,1,445.3,94,85.4,410.1,485,44.84,449.6,485,9.44,4,0,7.0,1.0,3.0,1305.0,1064,139.68,0.1070344827586207,1.2265037593984962,1,0
94,1,291.1,223,43.1,225.5,222,24.44,230.0,222,4.44,4,0,7.0,1.0,3.0,746.6,667,71.98,0.09641039378515939,1.1193403298350826,2,0
286,89,209.2,207,84.6,284.2,100,28.98,203.7,202,2.88,8,0,23.0,5.0,9.0,697.0999999999999,509,116.46,0.16706354898866735,1.3695481335952846,2,0
29,82,293.1,203,89.6,226.6,83,22.96,282.1,220,20.88,0,0,2.0,0.0,0.0,801.8000000000001,506,133.44,0.16642554252930905,1.5845849802371543,2,0
328,82,323.3,29,32.3,293.7,30,26.86,290.0,83,20.32,2,0,27.0,6.0,10.0,907.0,142,79.47999999999999,0.0876295479603087,6.387323943661972,0,0
203,0,231.1,32,21.2,234.3,222,23.23,232.4,22,2.02,2,0,16.0,3.0,6.0,697.8,276,46.45,0.06656635139008313,2.528260869565217,0,0
204,0,203.4,23,25.8,220.3,45,20.22,223.6,223,3.34,3,0,17.0,3.0,6.0,647.3000000000001,291,49.36,0.07625521396570369,2.2243986254295534,0,0
322,33,327.3,82,34.0,209.9,202,32.82,294.1,330,8.66,2,0,26.0,6.0,10.0,831.3000000000001,614,75.47999999999999,0.09079754601226991,1.3539087947882738,2,0
68,0,262.8,86,33.5,288.1,86,28.28,290.2,82,8.82,8,0,5.0,1.0,2.0,841.1000000000001,254,70.6,0.08393770063012719,3.311417322834646,0,1
89,1,292.3,93,88.9,287.0,99,28.82,230.6,91,20.08,8,0,7.0,1.0,2.0,809.9,283,137.8,0.17014446227929375,2.8618374558303885,0,0
94,1,444.3,88,49.9,445.8,445,40.49,405.5,95,9.88,4,0,7.0,1.0,3.0,1295.6,628,100.27,0.07739271380055573,2.063057324840764,1,0
223,1,205.0,241,45.8,223.0,203,24.09,225.9,95,4.02,0,0,18.0,4.0,7.0,653.9,539,73.91,0.11302951521639394,1.2131725417439703,2,0
29,1,211.1,289,89.5,223.1,223,22.98,292.4,228,28.2,2,0,2.0,0.0,0.0,726.5999999999999,740,140.68,0.1936140930360584,0.9818918918918917,2,0
63,1,225.0,227,22.8,224.3,220,29.22,225.1,93,22.3,2,0,5.0,1.0,2.0,674.4,540,74.32,0.11020166073546855,1.248888888888889,2,0
95,42,137.7,92,23.3,201.4,62,17.07,135.1,68,6.02,5,0,7.0,1.0,3.0,474.20000000000005,222,46.39,0.09782792070856178,2.136036036036036,0,1
229,23,229.9,29,84.1,270.1,28,28.89,229.2,227,2.82,0,0,19.0,4.0,7.0,729.2,284,115.80999999999999,0.1588178826110806,2.5676056338028173,0,0
329,1,290.2,33,21.6,283.4,321,32.08,290.1,88,20.28,2,0,27.0,6.0,10.0,863.6999999999999,442,73.96000000000001,0.08563158504110226,1.9540723981900452,2,1
269,22,229.3,21,31.8,222.4,209,22.99,224.5,83,2.88,2,0,22.0,5.0,8.0,676.2,313,57.67,0.08528541851523218,2.16038338658147,0,0
98,32,284.0,91,29.6,263.0,203,32.32,268.1,280,32.02,2,0,8.0,1.0,3.0,815.1,574,93.94,0.11524966261808367,1.420034843205575,2,0
33,1,232.5,100,22.5,222.6,223,22.36,233.1,34,3.29,3,0,2.0,0.0,1.0,688.2,357,48.15,0.06996512641673931,1.9277310924369748,0,1
63,1,224.1,202,22.9,267.1,222,22.62,223.0,224,20.03,2,0,5.0,1.0,2.0,714.2,648,65.55,0.09178101372164658,1.1021604938271605,2,1
441,1,466.1,98,47.6,407.2,409,47.55,445.4,67,6.57,4,1,36.0,8.0,2.0,1318.6999999999998,574,101.72,0.07713657389853645,2.2973867595818813,1,0
23,0,203.1,92,82.3,290.7,203,28.02,230.5,93,8.22,8,0,1.0,0.0,0.0,724.3,388,118.53999999999999,0.16366146624326935,1.8667525773195874,0,0
86,0,264.5,92,34.7,289.0,202,29.86,284.6,203,8.28,2,0,7.0,1.0,2.0,838.1,497,72.84,0.08691086982460328,1.6863179074446681,2,0
489,0,444.5,449,45.8,450.4,68,44.48,444.8,84,9.84,4,1,40.0,9.0,4.0,1339.7,601,100.12,0.07473314921251026,2.229118136439268,1,0
32,39,34.0,224,23.0,223.9,63,29.02,264.9,33,2.36,3,0,2.0,0.0,1.0,522.8,320,54.379999999999995,0.10401683244070391,1.6337499999999998,0,0
100,0,283.8,320,29.8,290.2,93,28.82,264.1,93,32.9,2,0,8.0,1.0,3.0,838.1,506,91.52000000000001,0.10919937954897985,1.6563241106719369,2,0
323,32,281.6,89,80.9,323.5,92,29.08,208.5,209,9.26,0,0,26.0,6.0,10.0,813.6,390,119.24000000000001,0.14655850540806295,2.086153846153846,0,0
283,1,322.4,32,29.6,329.2,91,9.88,291.6,323,8.82,2,0,23.0,5.0,9.0,943.1999999999999,446,48.300000000000004,0.0512086513994911,2.1147982062780266,2,0
86,1,223.8,98,83.8,222.3,98,28.28,229.9,20,20.29,0,0,7.0,1.0,2.0,676.0,216,132.37,0.19581360946745563,3.1296296296296298,0,0
33,22,223.7,222,34.0,234.9,33,20.3,223.2,37,2.32,2,0,2.0,0.0,1.0,681.8,292,56.62,0.08304488119683191,2.334931506849315,0,0
42,0,295.1,41,44.4,243.6,50,24.9,244.9,94,3.02,2,0,3.0,0.0,1.0,783.6,185,72.32,0.09229198570699335,4.235675675675676,0,0
121,1,215.0,79,38.0,122.7,117,10.26,246.3,102,11.0,1,0,10.0,2.0,4.0,584.0,298,59.26,0.10147260273972603,1.9597315436241611,0,0
37,1,263.7,100,23.2,231.0,24,22.62,233.7,223,22.3,2,0,3.0,0.0,1.0,728.4,347,68.12,0.09352004393190555,2.099135446685879,0,1
23,0,33.4,22,23.6,224.3,34,23.26,204.0,223,9.06,2,0,1.0,0.0,0.0,461.7,279,55.92,0.12111760883690709,1.6548387096774193,0,0
94,21,206.2,90,24.5,205.0,242,22.42,224.2,224,4.34,0,0,7.0,1.0,3.0,635.4,556,51.260000000000005,0.08067359143846398,1.1428057553956834,2,0
21,0,288.2,89,83.5,289.7,82,22.82,229.3,209,22.29,2,0,1.0,0.0,0.0,807.2,380,128.60999999999999,0.15932854311199204,2.1242105263157898,0,0
263,1,286.2,323,28.3,282.2,69,28.88,331.0,329,8.08,2,0,21.0,5.0,8.0,899.4,721,65.26,0.07255948410051145,1.2474341192787795,2,0
226,33,233.2,222,33.3,223.1,229,23.03,295.1,204,3.22,2,0,18.0,4.0,7.0,751.4,655,59.55,0.07925206281607665,1.147175572519084,2,0
68,1,95.6,95,46.9,448.7,81,44.55,445.6,85,9.64,0,0,5.0,1.0,2.0,989.9,261,101.08999999999999,0.10212142640670774,3.79272030651341,0,0
116,1,346.0,82,59.8,204.2,107,17.29,219.3,107,9.79,1,0,9.0,2.0,3.0,769.5,296,86.88,0.11290448343079922,2.5996621621621623,0,1
45,0,209.7,43,46.0,294.1,93,23.44,201.4,44,9.02,0,0,3.0,0.0,1.0,705.2,180,78.46,0.1112592172433352,3.9177777777777782,0,0
200,0,224.1,43,23.6,294.9,44,23.34,223.2,222,4.29,2,0,16.0,3.0,6.0,742.2,309,51.23,0.06902452169226622,2.4019417475728155,0,0
202,1,91.2,91,30.0,203.8,210,22.62,269.2,96,2.62,2,0,16.0,3.0,6.0,564.2,397,55.24,0.09790854306983339,1.4211586901763225,0,0
322,0,83.5,92,29.9,269.9,322,32.29,321.8,28,6.82,2,0,26.0,6.0,10.0,675.2,442,69.00999999999999,0.10220675355450234,1.5276018099547513,0,0
33,0,226.8,204,24.3,222.9,203,22.6,262.5,67,2.32,2,0,2.0,0.0,1.0,712.2,474,49.220000000000006,0.06910980061780399,1.5025316455696203,2,0
282,1,269.4,81,32.9,262.6,91,32.28,83.8,90,8.92,2,0,23.0,5.0,9.0,615.8,262,74.10000000000001,0.12033127638843782,2.350381679389313,0,0
224,1,243.3,92,25.9,210.0,44,22.44,244.3,222,20.24,2,0,18.0,4.0,7.0,697.6,358,68.58,0.09830848623853211,1.9486033519553074,0,0
232,22,290.5,94,34.1,229.7,223,22.22,224.1,33,9.22,2,0,19.0,4.0,7.0,744.3000000000001,350,65.54,0.088055891441623,2.126571428571429,0,0
207,33,33.2,220,25.3,235.1,33,20.03,231.8,223,6.29,2,0,17.0,3.0,6.0,500.1,476,51.62,0.10321935612877424,1.0506302521008404,0,0
202,0,224.3,200,22.9,244.7,43,24.23,244.9,43,22.42,0,0,16.0,3.0,6.0,713.9,286,69.55,0.09742260820843256,2.496153846153846,0,0
48,0,49.4,441,10.4,480.8,446,45.44,456.0,96,6.87,0,0,4.0,0.0,1.0,986.2,983,62.709999999999994,0.06358750760494827,1.0032553407934894,1,1
323,87,283.7,28,30.2,329.7,209,29.89,98.4,329,2.32,8,0,26.0,6.0,10.0,711.8,566,62.410000000000004,0.08767912334925541,1.2575971731448763,2,0
328,33,98.9,283,29.5,300.4,33,26.32,322.9,82,6.82,2,0,27.0,6.0,10.0,722.1999999999999,398,62.64,0.08673497646081418,1.814572864321608,0,0
236,30,33.7,93,22.9,231.0,34,29.33,225.0,203,20.96,2,0,19.0,4.0,7.0,489.7,330,73.19,0.14945885235858689,1.483939393939394,0,0
94,0,324.7,207,33.4,233.1,39,22.39,303.5,223,23.66,2,0,7.0,1.0,3.0,861.3,469,79.45,0.09224428189945433,1.836460554371002,2,1
123,1,174.3,110,30.7,93.5,84,7.79,213.3,104,9.53,3,0,10.0,2.0,4.0,481.1,298,48.02,0.09981292870505093,1.6144295302013423,0,0
69,1,230.0,92,84.4,223.4,222,22.99,209.3,202,9.26,2,0,5.0,1.0,2.0,662.7,516,116.65,0.17602233288063981,1.2843023255813955,2,0
29,0,293.2,87,84.3,269.5,227,22.88,290.6,83,6.29,2,0,2.0,0.0,0.0,853.3000000000001,397,113.47,0.13297785069729284,2.149370277078086,0,0
37,1,264.1,100,23.1,229.8,23,22.62,235.3,223,22.3,2,0,3.0,0.0,1.0,729.2,346,68.02,0.0932803071859572,2.1075144508670522,0,1
245,0,204.6,93,42.9,221.1,22,20.24,29.6,204,4.49,0,0,20.0,4.0,8.0,455.3,319,67.63,0.1485394245552383,1.4272727272727272,0,0
32,1,286.7,206,29.5,328.8,209,29.28,270.6,323,32.92,0,0,2.0,0.0,1.0,886.1,738,91.7,0.10348719106195689,1.2006775067750677,2,0
210,0,201.2,22,33.0,300.9,220,23.33,236.3,63,20.62,0,0,17.0,4.0,7.0,738.4,305,76.95,0.10421180931744313,2.420983606557377,0,0
65,0,450.1,447,45.9,450.3,440,49.44,450.2,94,44.8,4,0,5.0,1.0,2.0,1350.6000000000001,981,140.14,0.10376129127795052,1.376758409785933,1,0
93,43,225.8,24,23.3,225.9,95,24.42,204.0,223,2.22,2,0,7.0,1.0,3.0,655.7,342,49.94,0.07616287936556351,1.9172514619883043,0,0
62,0,234.2,63,24.3,204.0,209,22.26,233.6,33,20.26,2,0,5.0,1.0,2.0,671.8,305,66.82000000000001,0.09946412622804408,2.202622950819672,0,0
43,0,294.3,49,31.1,223.7,23,24.23,224.9,23,4.02,2,0,3.0,0.0,1.0,742.9,95,59.349999999999994,0.07988962175259119,7.819999999999999,0,0
81,0,290.1,203,84.0,88.8,329,2.98,203.5,100,9.32,2,0,6.0,1.0,2.0,582.4000000000001,632,96.30000000000001,0.16535027472527472,0.9215189873417723,2,0
